Road Name,Asset ID (Identifier),Easting (Location/Map Coordinates),Northing (Location/Map Coordinates),Monument Type,Description,Geometry
BLYTH ST,181,280480.61,6132868.64,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428530.5668919 -4153410.89443481)
BLYTH ST,182,280480.89,6132865.65,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428530.8143433 -4153414.5574916)
BLYTH ST,183,280481.13,6132862.66,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428531.0203345 -4153418.2219968)
BLYTH ST,184,280479.08,6132887.07,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428529.2432007 -4153388.29702919)
BLYTH ST,185,280478.75,6132891.09,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428528.94911 -4153383.37466474)
BLYTH ST,186,280478.41,6132895.05,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428528.6582226 -4153378.5221432)
BLYTH ST,187,280478.09,6132899.04,Public Art,SEVEN LIGHT BOXES INSTALLED ON BLYTH ST,POINT (15428528.3827669 -4153373.63572642)
CURRIE ST INC,66,280190.87,6132622.55,Memorial,COLONEL LIGHT MEMORIAL AND POND CC REF:CC000130,POINT (15428170.5366791 -4153703.39477883)
GRENFELL ST DEC,215,281233.67,6132786.02,Sculpture,"HINDMARSH SQUARE - """"CONCRETE BALL"""" SCULPTURE",POINT (15429445.1584535 -4153534.04749482)
GRENFELL ST DEC,228,281249.71,6132796.56,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429464.9979938 -4153521.62434445)
GRENFELL ST DEC,229,281243.85,6132795.58,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429457.8335822 -4153522.65149492)
GRENFELL ST DEC,230,281243.38,6132794.99,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429457.2440521 -4153523.3594398)
GRENFELL ST DEC,231,281244.7,6132793.07,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429458.7954647 -4153525.74671511)
GRENFELL ST DEC,232,281241.54,6132793.04,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429454.9465934 -4153525.69086355)
GRENFELL ST DEC,233,281242.64,6132791,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429456.2266086 -4153528.21848493)
GRENFELL ST DEC,234,281240.36,6132790.07,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429453.4230904 -4153529.28931995)
GRENFELL ST DEC,235,281241.17,6132787.69,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429454.3400535 -4153532.22434983)
GRENFELL ST DEC,236,281238.89,6132787.25,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429451.5508207 -4153532.69579793)
GRENFELL ST DEC,237,281240.31,6132784.6,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429453.2027215 -4153535.978969)
GRENFELL ST DEC,238,281251.01,6132793.57,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429466.4938583 -4153525.3198968)
GRENFELL ST DEC,239,281249.02,6132792.36,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429464.0353174 -4153526.74173397)
GRENFELL ST DEC,240,281251.53,6132791.2,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429467.0579771 -4153528.23419927)
GRENFELL ST DEC,241,281251.07,6132790.7,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429466.4832484 -4153528.83234646)
GRENFELL ST DEC,242,281245.54,6132788.68,Sculpture,"HINDMARSH SQUARE - """"TOOTH"""" SCULPTURE",POINT (15429459.6903587 -4153531.14133077)
GRENFELL ST DEC,220,281245.57,6132794.31,Sculpture,"HINDMARSH SQUARE - """"SUNFLOWER"""" SCULPTURE",POINT (15429459.8910339 -4153524.25538053)
GRENFELL ST DEC,221,281241.87,6132789.57,Sculpture,"HINDMARSH SQUARE - """"SUNFLOWER"""" SCULPTURE",POINT (15429455.247271 -4153529.94516362)
GRENFELL ST DEC,222,281240.66,6132786.05,Sculpture,"HINDMARSH SQUARE - """"SUNFLOWER"""" SCULPTURE",POINT (15429453.6712001 -4153534.2155239)
GRENFELL ST DEC,224,281251.37,6132788.33,Sculpture,"HINDMARSH SQUARE - """"TAP AND HOSE"""" SCULPTURE",POINT (15429466.7794687 -4153531.74020682)
HINDLEY ST,196,280569.35,6132846.31,Statue,ROY 'MO' RENE,POINT (15428637.961736 -4153440.8148526)
HURTLE SQ,143,281406.13,6131753.24,Sculpture,TIMBER/STONE SEAT SCULPTURE,POINT (15429625.0710517 -4154802.50566174)
HUTT ST,174,281932.59,6131890.79,Commerative Fountain,HUTT STREET - EAST SIDE BETWEEN CARRINGTON ST AND HALIFAX ST,POINT (15430270.2272692 -4154649.62630268)
HUTT ST,271,281912.46,6131957.29,Clock,ARTISTIC CLOCK,POINT (15430247.6456361 -4154567.68481521)
KING WILLIAM RD DEC,150,280734.91,6133043.12,Memorial,SOUTH AFRICAN WAR MEMORIAL CC REF:CC000128,POINT (15428845.3222309 -4153204.93420543)
KING WILLIAM RD DEC,165,280755.65,6133329.18,Plaque,MEDICAL SERVICES MEMORIAL WW2 PLAQUE,POINT (15428878.9342116 -4152855.64028157)
KING WILLIAM RD DEC,166,280778.09,6133336.54,Plaque,2/3RD AUSTRALIAN MACHINE GUN BATTALION PLAQUE,POINT (15428906.4731094 -4152847.2963057)
KING WILLIAM RD DEC,167,280795.62,6133339.53,Plaque,SA SCOTTISH REGIMENT PLAQUE,POINT (15428927.9057111 -4152844.15341283)
KING WILLIAM RD DEC,45,280821.43,6133340.18,Plaque,2/27TH INFANTRY BATTALION PLAQUE,POINT (15428959.3520398 -4152844.11558468)
KING WILLIAM RD DEC,202,280748.18,6133061.04,Plaque,AUSTRALIA'S BICENTENARY PLAQUE - CC REF:CC002536,POINT (15428862.0044384 -4153183.40400829)
KING WILLIAM RD DEC,203,280759.63,6133064.74,Plaque,RUBBLE LIMESTONE WALL RESTORATION PLAQUE,POINT (15428876.0549573 -4153179.21423483)
KINTORE AVE,270,280907.69,6133089.85,Memorial,SOUTH AUSTRALIAN WAR MEMORIAL - GREAT WAR WW1 1914 - 1918,POINT (15429057.0824508 -4153152.84624105)
KINTORE AVE,48,280918.18,6133117.96,Memorial,ROYAL AUSTRALIAN REGIMENT -  KOREA-MALAY-BORNEO-VIETNAM MEMORIAL,POINT (15429070.6657272 -4153118.76357549)
KINTORE AVE,49,280902.59,6133115.92,Memorial,IN MEMORY OF OFFICERS-NCO'S & MEN 50TH BATTALION MEMORIAL,POINT (15429051.628733 -4153120.80181078)
KINTORE AVE,50,280890.59,6133113.19,Memorial,OUR COMRADES 48TH BATTALION AIF 1916 MEMORIAL,POINT (15429036.9406274 -4153123.78803019)
KINTORE AVE,51,280884.65,6133109.27,Memorial,SECOND WW 1939 - 1945 MEMORIAL,POINT (15429029.5858819 -4153128.40853706)
KINTORE AVE,52,280894.69,6133106.3,Memorial,ENLISTED SERVICEMEN - MALAYA-BORNEO-KOREA-VIETNAM MEMORIAL,POINT (15429041.7292183 -4153132.34702113)
KINTORE AVE,53,280880.45,6133105.3,Memorial,IN MEMORY OF OFFICERS-NCO'S & MEN 27TH BATTALION MEMORIAL,POINT (15429024.3591199 -4153133.15251065)
KINTORE AVE,55,280891,6133096.22,Plaque,LONE PINE BATTLE PLAQUE,POINT (15429036.9368694 -4153144.56600663)
KINTORE AVE,40,280882.08,6133346.08,Plaque,IN MEMORY OF ALL MEMBERS WHO SERVED PLAQUE - CC REF:CC002550,POINT (15429033.377864 -4152838.68294784)
KINTORE AVE,41,280872.39,6133345.95,Plaque,2/43RD INFANTRY BATTALION PLAQUE,POINT (15429021.5763326 -4152838.55778789)
KINTORE AVE,42,280891.8,6133344.87,Plaque,SOUTH AUSTRALIAN PRISONERS OF WAR PLAQUE,POINT (15429045.1694984 -4152840.44783343)
KINTORE AVE,43,280853.98,6133343.51,Plaque,IN MEMORY OF ALL MEMBERS WHO SERVED PLAQUE,POINT (15428999.08467 -4152841.0010008)
KINTORE AVE,44,280833.84,6133341.26,Plaque,ROYAL AUSTRALIAN ARTILLERY PLAQUE - CC REF:CC002539,POINT (15428974.4895627 -4152843.16218276)
LEIGH ST,94,280552.59,6132716.37,Plaque,,POINT (15428613.7600289 -4153599.2642878)
LEIGH ST,95,280552.71,6132714.92,Plaque,,POINT (15428613.8647878 -4153601.04887862)
LEIGH ST,96,280553.38,6132715.72,Plaque,,POINT (15428614.7016538 -4153600.08869055)
LEIGH ST,97,280551.84,6132715.57,Plaque,,POINT (15428612.8257452 -4153600.22212525)
LEIGH ST,98,280558.84,6132723.94,Plaque,,POINT (15428621.589815 -4153590.18549535)
LEIGH ST,99,280559,6132722.43,Plaque,,POINT (15428621.7379638 -4153592.04089633)
LEIGH ST,100,280559.68,6132723.27,Plaque,,POINT (15428622.588 -4153591.03941208)
LEIGH ST,101,280558.17,6132723.13,Plaque,,POINT (15428620.7550934 -4153591.15797429)
LEIGH ST,102,280559.13,6132720.59,Plaque,,POINT (15428621.8434948 -4153594.3028427)
LEIGH ST,103,280542.34,6132833.03,Plaque,,POINT (15428604.6857069 -4153456.25967158)
LEIGH ST,104,280542.19,6132834.51,Plaque,,POINT (15428604.5536443 -4153454.44507062)
LEIGH ST,105,280543,6132833.84,Plaque,,POINT (15428605.5141552 -4153455.29439749)
LEIGH ST,106,280541.5,6132833.72,Plaque,,POINT (15428603.6915097 -4153455.39239679)
LEIGH ST,107,280550.35,6132826.63,Plaque,,POINT (15428614.260671 -4153464.33240561)
LEIGH ST,108,280550.2,6132828.15,Plaque,,POINT (15428614.1128166 -4153462.46479344)
LEIGH ST,109,280549.54,6132827.32,Plaque,,POINT (15428613.2835203 -4153463.4655423)
LEIGH ST,110,280551.03,6132827.47,Plaque,,POINT (15428615.1073955 -4153463.316166)
LEIGH ST,111,280550.12,6132829.14,Plaque,,POINT (15428614.0541256 -4153461.25046326)
LEIGH ST,112,280546.85,6132802.39,Plaque,,POINT (15428609.2873263 -4153493.87928496)
LEIGH ST,113,280547.46,6132795.08,Plaque,,POINT (15428609.8140095 -4153502.83405037)
LEIGH ST,114,280548.39,6132783.92,Plaque,,POINT (15428610.6201338 -4153516.51016342)
LEIGH ST,115,280549.01,6132776.53,Plaque,,POINT (15428611.1527685 -4153525.57279681)
LEIGH ST,116,280549.86,6132766.29,Plaque,,POINT (15428611.8908795 -4153538.11882577)
LEIGH ST,117,280550.68,6132756.47,Plaque,,POINT (15428612.59961 -4153550.16112082)
LEIGH ST,118,280551.55,6132745.96,Plaque,,POINT (15428613.3576872 -4153563.0442425)
LEIGH ST,119,280551.19,6132799.25,Plaque,,POINT (15428614.4792221 -4153497.84402995)
LEIGH ST,120,280551.51,6132795.47,Plaque,,POINT (15428614.7521877 -4153502.47953295)
LEIGH ST,121,280551.81,6132791.78,Plaque,,POINT (15428615.0168263 -4153507.00468285)
LEIGH ST,122,280552.12,6132788.03,Plaque,,POINT (15428615.2870457 -4153511.60218137)
LEIGH ST,123,280552.28,6132786.12,Plaque,,POINT (15428615.4237865 -4153513.93462891)
LEIGH ST,124,280554.02,6132782.18,Plaque,,POINT (15428617.4200077 -4153518.80754523)
LEIGH ST,125,280554.19,6132780.62,Plaque,,POINT (15428617.5812471 -4153520.72689498)
LEIGH ST,126,280553.33,6132781.3,Plaque,,POINT (15428616.5637021 -4153519.86762045)
LEIGH ST,127,280554.85,6132781.44,Plaque,,POINT (15428618.4174736 -4153519.74221917)
LEIGH ST,128,280552.69,6132781.25,Plaque,,POINT (15428615.7744671 -4153519.90610352)
LEIGH ST,129,280555.55,6132780.75,Plaque,,POINT (15428619.2462732 -4153520.59693971)
LEIGH ST,130,280554.25,6132779.84,Plaque,,POINT (15428617.6340787 -4153521.67672001)
LEIGH ST,131,280552.81,6132779.76,Plaque,,POINT (15428615.8817387 -4153521.73847587)
LEIGH ST,132,280552.9,6132778.67,Plaque,,POINT (15428615.9595996 -4153523.06832508)
LEIGH ST,133,280553.39,6132772.73,Plaque,,POINT (15428616.3862909 -4153530.34513122)
LEIGH ST,134,280553.57,6132770.6,Plaque,,POINT (15428616.5406594 -4153532.9595135)
LEIGH ST,135,280553.73,6132768.65,Plaque,,POINT (15428616.6807506 -4153535.35569104)
LEIGH ST,136,280554.06,6132764.72,Plaque,,POINT (15428616.9628712 -4153540.16890136)
LEIGH ST,137,280554.39,6132760.78,Plaque,,POINT (15428617.246005 -4153544.99070575)
LEIGH ST,138,280554.55,6132758.79,Plaque,,POINT (15428617.3899143 -4153547.43103976)
LEIGH ST,139,280554.47,6132759.78,Plaque,,POINT (15428617.317828 -4153546.21637724)
