OBJECTID,HERITAGENR,PARLOCATIO,STREETNR,STREETNAME,STREETTYPE,ADDRESS2,SUBURB,DETAILS,HERITAGECL,HERITAGE_1,HERITAGE_2,HERITAGE_3,LHPCLASSTY,LGADESC,SHRCODE,COUNCILREF,CODE,IDCODE,AS2482,AS2482DESC,LOCATIONAC,ACCURACYDE,SOURCEOFDA,INTERIMDAT,INTERIMPAR,AUTHORISAT,AUTHPARREF,POLYGONTYP,POLYGONT_1,LOCALITY,SECTION23S,SECTION16S,PLANPARCEL,VALUATIONS,DEVPLANDES,UNITNR,SHRSTATUSC,SHRSTATUSD,EXTENTOFLI,SIGNIFICAN
245491,1392,110 Barnard Street NORTH ADELAIDE,110,Barnard Street,,,NORTH ADELAIDE,Dwelling,S,State,,,,Adelaide,16171,,1355,H0201355,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,E,CT 5437/555 D23952 A11,220370206,ADELAIDE Council,,REG,11/12/1997,,"A large two-storey house, with fine detailing, built in 1867. The house is one of a small number of dwellings designed by Daniel Garlick, a prominent colonial architect. It is an important, distinctive and early example of the grand Victorian house."
244192,1534,North Terrace ADELAIDE,,North Terrace,,,ADELAIDE,Memorial to His Majesty King Edward VII,S,State,,,,Adelaide,16176,,1503,H0201503,32240,Monument - Column - Cairn - Cross - Shrine - Marker - Statue,H,high level confidence,SHB,,,,,D,"item has been digitised (generally because it doesn't exist in a DCDB parcel, eg. bridge",ADELAIDE,,E,CT 0000/0000 H105100,,ADELAIDE Council,,REG,11/06/1998,,"A significant monument, with landmark qualities. The statue is the work of Sir Bertram Mackennal, the only Australian sculptor to be elected a full member of the Royal Academy. Mackennal produced three other Edward VII sculptures, located in Melbourne, Calcutta and London. The South Australian work is 'quite different and...therefore quite particular to the City of Adelaide'."
243974,1429,84 Archer Street NORTH ADELAIDE,84,Archer Street,,,NORTH ADELAIDE,Blind Welfare Institute (former Wesleyan Methodist Church Hall),S,State,,,,Adelaide,13609,,1393,H0201393,11510,Business House - Offices,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,,CT 5901/894 F39107 A120,222326700,ADELAIDE Council,,REG,11/09/1986,,"Archer Street Wesleyan Methodist Church has been described as being, for over fifty years, 'one of the grand places of Methodism,... the mother church of Wesleyanism north and west of the city.' [Arnold Hunt 'This Side of Heaven' (1985) p 88]. The original church building sat over 1000 and opened in 1856. It was demolished in 1964 and replaced by a smaller building, and its former hall, erected in 1882-83 as a Sunday School and lecture hall, is significant as the only surviving building from the 19th century when the church was at its peak."
249092,1478,93-100 East Terrace ADELAIDE,93-100,East Terrace,,,ADELAIDE,"Dwelling ('Rymill House', previously 'The Firs') including  Western and Southern Boundary Walls",S,State,,,,Adelaide,10792,,1444,H0201444,11510,Business House - Offices,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT 5518/1 D14079 A10,205289207,ADELAIDE Council,,REG,28/05/1981,,"Architecturally, Rymill House is of very high significance as an unusual and exuberant example of the Queen Anne style in South Australia, and may be of even wider significance. Its grandeur of scale, complex architectural composition, and variety of detailing, purpose designed embellishments, and inlaid decorations, add to its representative architectural value and provide important evidence of the history of aesthetics, and of a philosophy of design which embraced progressive ideas on taste and lifestyle. The physical survival of that evidence in the buildings fabric (and setting) contributes significantly to an understanding of the spread and evolution of the Queen Anne style outside of England. Rymill House is also a testament to the ability of its architect, John Haslam, in interpreting and adapting the English style to local conditions. It is one of the largest local examples of his work to survive and the best of only a few of the architectural type and style in Adelaide. It was one of the last great residences to be built in late 19th century Adelaide before the economic crash and decades long recession which followed. Rymill House is also significant for its highly unusual attribute of being designed to be viewed 'in the round'. It has as a consequence, an enhanced degree of unity in its relationship to its setting, and a 'set-piece' quality that is reminiscent of the baronial manors of 'Old England'. The interior of Rymill House is significant for the remarkable diversity of its ornamentation and detailing, a feature of the Queen Anne style. Rymill House has high historical significance due to both its place in the development of architecture in South Australia and its association with the Rymills - a prominent South Australian family. (Condensed from 'Conservation Plan of Rymill House' 1993)"
246152,1303,181-191 Victoria Square ADELAIDE,181-191,Victoria Square,,,ADELAIDE,Beacon House (former MLC [Mutual Life and Citizens' Assurance Company Ltd] Building),S,State,,,,Adelaide,13596,,1238,H0201238,11510,Business House - Offices,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,"CT 5007/302 S7176 U7,CT 5007/304 S7176 U9,CT 5007/303 S7176 U8,CT 5007/310 S7176 UCP,CT 5007/309 S7176 U14,CT 5007/308 S7176 U13,CT 5007/307 S7176 U12,CT 5007/306 S7176 U11,CT 5007/305 S7176 U10,CT 5007/301 S7176 U6,CT 5007/297 S7176 U2,CT 5007/298 S7176","0201563117, 0201563168,0201563213,0201563264,020156331*,0201563360,0201563416,0201563467,0201563512,0201563563,0201563619,020156366*,0201563715,0201563766",ADELAIDE Council,,REG,11/09/1986,,"Architecturally, the former MLC building is a highly developed example of the International Style of light, steel framed, curtain wall skyscrapers, and is the most sophisticated example of the building type erected in Adelaide and Australia. Designed in 1955 by Osborn McCutcheon of the Melbourne architectural firm Bates Smart McCutcheon, it represents a peak of design and construction achievement for this innovative firm. The building is widely regarded as an outstanding representative of both the International Style and the development of light steel frame construction with integrated building services, and demonstrates a degree of creative, aesthetic and technical achievement unmatched in any other building of its type in Australia. Historically, the building is associated with the post-war development and growth of the insurance industry, and the MLC Company in particular, and is indicative of the company's status in the South Australian economy, reflected in the deliberate development of a modern landmark building as its South Australian headquarters. [Condensed / Adapted from: Bruce Harry & Associates 'Former MLC Building, 185 Victoria Square, Adelaide, Conservation Management Plan' Vol 1, August 1997]"
244131,1695,18 Gaol Road ADELAIDE,18,Gaol Road,,,ADELAIDE,Former Adelaide Gaol,S,State,,,,Adelaide,10937,,1700,H0201700,18100,Historic Sites (unclassified),H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CR 5756/336 H105106 S549,201813008,ADELAIDE Council,,REG,8/11/1984,,"At the time it was built the Adelaide Gaol was the largest and most costly public work undertaken in the infant province of South Australia. Dating from 1841, it is the State's oldest surviving penal establishment and, along with Government House, one of the oldest public buildings in South Australia. Designed by Inspector of Public Works and Buildings / Government Architect George Strickland Kingston, and intended to meet the colony's future as well as immediate needs, the 34,000 pounds project was criticised as lavish and extravagant. It contributed to the colony's bankruptcy in 1840, and the consequent replacement of George Gawler as Governor the following year. The panopticon design, emulating trends in England and America at the time, is unique in Australia, being the only one of radial design still intact. Later additions to the complex provide evidence of progressive demands for increased accommodation and security over the gaol's long history up until its closure in 1988. Adapted from: Danvers Architects, Adelaide Gaol Conservation Study Report 1986 Schwager Brooks and Partners, Pty Ltd, Architects and Planners, Adelaide Gaol Conservation Plan, 1989 Marsden, S, et al, Heritage of the City of Adelaide, Corporation of the City of Adelaide, 1990"
245978,1415,72 Brougham Place NORTH ADELAIDE,72,Brougham Place,,,NORTH ADELAIDE,Dwelling ('Belmont') (former Masonic Hall),S,State,,,,Adelaide,10803,,1378,H0201378,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,NORTH ADELAIDE,,,CT 5301/732 D25948 A11,220012003,ADELAIDE Council,,REG,12/01/1984,,"Belmont was completed in 1858 for the North Adelaide Masonic and Public Hall Association and designed by Edmund Wright in the Roman Doric style, which has symbolic significance for Freemasons. It is of historical significance as an early purpose-built masonic hall - many of the early lodges met in hotels - and is the earliest such structure that is a State Heritage Place. It is architecturally significant for being an early commission of Wright's and possibly the earliest of his designs to survive. Wright went on to become one of the Colony's leading architects."
246803,1676,239 South Terrace ADELAIDE,239,South Terrace,,,ADELAIDE,Adelaide City Park Motel (former Green Dragon Hotel),S,State,,,,Adelaide,13108,,1677,H0201677,10510,Hotel - Motel - Inn,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT 5460/518 F181907 A255,209757258,ADELAIDE Council,,REG,11/09/1986,,"Built 1857 for John Mitten, a coach driver, the Green Dragon Hotel is one of a very few hotels in the City of Adelaide with a major part of its structure dating from this early period (see also the Rob Roy Hotel in Halifax Street, registered place 13434). Because it was originally built as a substantial two storey structure in 1858, it was unaltered in the speculative building period of the mid to late 1870s. However, as part of its development, additions were undertaken in 1891, 1908 and 1924. Architecturally, the hotel's austere design reflects the period before the more prosperous times from the mid 1860s. (PJS 25/11/97)"
244376,1692,West Terrace ADELAIDE,,West Terrace,,,ADELAIDE,Adelaide High School (formerly Adelaide Boys High School) 1951 building only and Observatory Site,S,State,,,,Adelaide,12557,,1697,H0201697,14040,Secondary School/College,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,"CT 6102/723 D73209 A60, 66",201802501,ADELAIDE Council,,REG,28/11/1985,,"Built 1947-51 as the Adelaide Boys High School and designed by Sydney architects E B Fitzgerald and J R Brogan, the building is of architectural significance as 'the first mainstream International style building in Adelaide' (R Apperly et al 'A Pictorial Guide to Identifying Australian Architecture' 1989, p 215). The school itself is of interest because of its origins as South Australia's first Government high school, the Advanced School for Girls, originally located in Grote Street, Adelaide, which in 1908 amalgamated with the Pupil Teacher School and the Grote St Model School to become the Adelaide Continuation School (briefly) and then Adelaide High School. The place is also significant for including the site of the Adelaide Observatory (1859-1940s), which for many years was associated with (Sir) Charles Todd, the first Government 'Observer' and Superintendent of Electric Telegraphs who was responsible for the construction of the Overland Telegraph from Port Augusta to Darwin, which linked Australia to Britain in 1872. (HB: 8/2006)"
244314,1274,42-46 King William Street ADELAIDE,42-46,King William Street,,,ADELAIDE,Waterhouse Chambers Offices,S,State,,,,Adelaide,13371,,1195,H0201195,11510,Business House - Offices,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,"CT 5270/449 F147429 A1,CT 5528/18 F181808 A156,CT 6123/242 F181810 A158,CT 6123/244 F181809 A157","0203769004, 0203770048,0203772000",ADELAIDE Council,,REG,11/09/1986,,"Built between 1847 and 1850, the Waterhouse Building is significant as one of the earliest large scale commercial building developments in Adelaide, constructed only a few years after the establishment of the colony. Its owner, TG Waterhouse, was one of the founding Directors of the South Australian Mining Association, and it was profits from the Association's Burra Mine which financed the venture. Waterhouse was a grocer who became a prominent and influential member of the community. The building was initially occupied by Waterhouse's store and the offices of the SAMA, although no physical evidence of this remains. The quality of the initial design and construction is representative of the highest standards achieved in the pre-1850 period. It remains today as one of only a very few buildings in the State from that period, and the most intact commercial building, despite some remodelling in 1869 (including the shopfronts and addition of a balcony) and superficial changes in the 20th century. (Adapted from Conservation Study, David J Gilbert Woodhead Architects 1988)"
