OBJECTID,HERITAGENR,PARLOCATIO,STREETNR,STREETNAME,STREETTYPE,ADDRESS2,SUBURB,DETAILS,HERITAGECL,HERITAGE_1,HERITAGE_2,HERITAGE_3,LHPCLASSTY,LGADESC,SHRCODE,COUNCILREF,CODE,IDCODE,AS2482,AS2482DESC,LOCATIONAC,ACCURACYDE,SOURCEOFDA,INTERIMDAT,INTERIMPAR,AUTHORISAT,AUTHPARREF,POLYGONTYP,POLYGONT_1,LOCALITY,SECTION23S,SECTION16S,PLANPARCEL,VALUATIONS,DEVPLANDES,UNITNR,SHRSTATUSC,SHRSTATUSD,EXTENTOFLI,SIGNIFICAN
248998,1481,263-267 East Terrace ADELAIDE,263-267,East Terrace,,,ADELAIDE,"St Corantyn Clinic (former Dwelling ('Eothen', later 'St Corantyn') & Coach House) and Wall",S,State,,,,Adelaide,13460,,1447,H0201447,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,"CT 5144/675 D36979 A1,CT 5307/334 D36979 A11,CT 5307/338 S13686 UCP,CT 5144/676 D36979 A2","0209633052, 0209633108,0209633159",ADELAIDE Council,,REG,3/11/1988,,"Dating from 1891-92, St Corantyn is a significant and well preserved example of the work of architect George Klewitz Soward. It was built for Soward's daughter Eliza and son-in-law Charles Hornabrook, who was the licencee of the York Hotel.  The house is"
246659,1481,263-267 East Terrace ADELAIDE,263-267,East Terrace,,,ADELAIDE,"St Corantyn Clinic (former Dwelling ('Eothen', later 'St Corantyn') & Coach House) and Wall",S,State,,,,Adelaide,13460,,1447,H0201447,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,"CT 5144/675 D36979 A1,CT 5307/334 D36979 A11,CT 5307/338 S13686 UCP,CT 5144/676 D36979 A2","0209633052, 0209633108,0209633159",ADELAIDE Council,,REG,3/11/1988,,"Dating from 1891-92, St Corantyn is a significant and well preserved example of the work of architect George Klewitz Soward. It was built for Soward's daughter Eliza and son-in-law Charles Hornabrook, who was the licencee of the York Hotel.  The house is"
246646,1481,263-267 East Terrace ADELAIDE,263-267,East Terrace,,,ADELAIDE,"St Corantyn Clinic (former Dwelling ('Eothen', later 'St Corantyn') & Coach House) and Wall",S,State,,,,Adelaide,13460,,1447,H0201447,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,"CT 5144/675 D36979 A1,CT 5307/334 D36979 A11,CT 5307/338 S13686 UCP,CT 5144/676 D36979 A2","0209633052, 0209633108,0209633159",ADELAIDE Council,,REG,3/11/1988,,"Dating from 1891-92, St Corantyn is a significant and well preserved example of the work of architect George Klewitz Soward. It was built for Soward's daughter Eliza and son-in-law Charles Hornabrook, who was the licencee of the York Hotel.  The house is"
244181,1535,North Terrace ADELAIDE,,North Terrace,,,ADELAIDE,State Library of South Australia Jervois Wing,S,State,,,,Adelaide,10875,,1504,H0201504,12550,Library,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CR 5759/861 H105100 S510,0205753989,ADELAIDE Council,,REG,28/05/1981,,"Opened in 1884, the Jervois Wing of the State Library, so named in 1965, is historically significant as the second home of the South Australian Institute. It was planned as first stage of grandiose new accommodation for the Institute and was intended to"
244191,1543,North Terrace ADELAIDE,,North Terrace,,,ADELAIDE,"Memorial to Sir Walter Watson Hughes, The University of Adelaide",S,State,,,,Adelaide,16928,,1512,H0201512,32240,Monument - Column - Cairn - Cross - Shrine - Marker - Statue,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,E G,"CT 5685/769 H105100 S694,CT 6077/7 H105100 S1207",020575413*,ADELAIDE Council,,REG,11/11/1999,,"The memorial commemorates the life of Sir Walter Watson Hughes, a noted South Australian benefactor. Hughes made significant contributions to the economic development of the State, his foresight leading to the discovery of the Wallaroo mines.  He also su"
263763,1642,North Terrace ADELAIDE,,North Terrace,,,ADELAIDE,Government House (main house and remaining perimeter walls of rear service courtyard),S,State,,,,Adelaide,10873,,1629,H0201629,14510,Government Head Office (Departmental),H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CR 5760/637 H105100 S755,0205745057,ADELAIDE Council,,REG,24/07/1980,,"The original portion of Government House was built in 1840 and designed by George S Kingston in the Georgian/Regency style.  

Because Government House has been primarily the home of all Governors since its completion in 1840 through to the present day,"
244362,1642,North Terrace ADELAIDE,,North Terrace,,,ADELAIDE,Government House (main house and remaining perimeter walls of rear service courtyard),S,State,,,,Adelaide,10873,,1629,H0201629,14510,Government Head Office (Departmental),H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CR 5760/637 H105100 S755,0205745057,ADELAIDE Council,,REG,24/07/1980,,"The original portion of Government House was built in 1840 and designed by George S Kingston in the Georgian/Regency style.  

Because Government House has been primarily the home of all Governors since its completion in 1840 through to the present day,"
244165,1642,North Terrace ADELAIDE,,North Terrace,,,ADELAIDE,Government House (main house and remaining perimeter walls of rear service courtyard),S,State,,,,Adelaide,10873,,1629,H0201629,14510,Government Head Office (Departmental),H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CR 5760/637 H105100 S755,0205745057,ADELAIDE Council,,REG,24/07/1980,,"The original portion of Government House was built in 1840 and designed by George S Kingston in the Georgian/Regency style.  

Because Government House has been primarily the home of all Governors since its completion in 1840 through to the present day,"
244114,1561,Frome Road ADELAIDE,,Frome Road,,,ADELAIDE,"Elephant House, Adelaide Zoo",S,State,,,,Adelaide,13650,,1532,H0201532,18100,Historic Sites (unclassified),H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CR 6043/263 H105100 S590,0205773058,ADELAIDE Council,,REG,11/09/1986,,"Erected in 1900 to an  Indian style, the Elephant House is within the Adelaide Zoological Gardens which opened in 1883.  It is the only building of its kind in South Australia and is one of only seven structures dating from this period remaining in the Z"
244135,1686,King William Road ADELAIDE,,King William Road,,,ADELAIDE,"Former Torrens Training Depot, including Drill Hall and Parade Ground",S,State,,,,Adelaide,14617,,1691,H0201691,13500,Defence Facility - General,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,A,CT 5948/489 F38386 A23,0205743051,ADELAIDE Council,,REG,11/06/1998,,"The site of the Torrens Training Depot and Parade Ground has been associated in the public consciousness with military activity since 1893.  Prior to 1893, the Military Parade Ground was located in the area which is now the South Australia Museum  foreco"
244481,1731,224A Angas Street ADELAIDE,224A,Angas Street,,,ADELAIDE,Dwelling ('Elder Mews') (former Adelaide Workmen's Homes),S,State,,,,Adelaide,10774,,1737,H0201737,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT 5835/178 F181569 A727,020723412*,ADELAIDE Council,,REG,26/11/1981,,"The Elder Mews cottages are significant for being built by Adelaide Workmen's Homes, one of many South Australian organisations that benefited from the philanthropy of Sir Thomas Elder, who bequeathed 25000 pounds to establish the institution. Its aim wa"
246644,1516,10 Maxwell Street ADELAIDE,10,Maxwell Street,,,ADELAIDE,Dwelling,S,State,,,,Adelaide,16172,,1484,H0201484,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,A,CT 5479/668 F13623 A3,0212610003,ADELAIDE Council,,REG,12/02/1998,,"The cottage is testimony to the nature of speculative development in the city before 1900, in the absence of effective planning controls.  The narrowest house in Adelaide, the building remains as evidence of the dense population that existed in the south"
244237,1711,72 Rundle Mall ADELAIDE,72,Rundle Mall,,,ADELAIDE,Balfour's Shop and Cafe,S,State,,,,Adelaide,10411,,1717,H0201717,11500,Business:  Commercial/Retail,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,F,CT 6129/290 F42223 A10,0203637503,ADELAIDE Council,,REG,11/12/1997,,"Historically, one of Adelaide's oldest surviving bakers. The origins of the company date to 1853 when it was established by James Calder. It became known as Balfours when Calder's nephew John Balfour took over the company. Balfour's in Rundle Mall is the"
244486,20654,228 Frome Street ADELAIDE,228,Frome Street,,,ADELAIDE,Dwelling ('Elder Mews') (former Adelaide Workmen's Homes),S,State,,,,Adelaide,10780,,1909,H0201909,16010,House,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,,CT 5817/815 F181565 A723,0207234197,ADELAIDE Council,,REG,26/11/1981,,"The Elder Mews cottages are significant for being built by Adelaide Workmen's Homes, one of many South Australian organisations that benefited from the philanthropy of Sir Thomas Elder, who bequeathed 25000 pounds to establish the institution. Its aim wa"
263935,26336,off South Terrace ADELAIDE,,off South Terrace,,,ADELAIDE,"Wattle Grove WWI War Memorial (Dardanelles Campaign, also called Gallipoli Campaign)",S,State,,,,Adelaide,26394,,2402,H0202402,32240,Monument - Column - Cairn - Cross - Shrine - Marker - Statue,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,A D,CR 6102/717 H105100 S6021,,ADELAIDE Council,,REG,23/08/2013,,"The Wattle Grove WWI War Memorial is a very early World War I memorial, having been dedicated on 7 September 1915, less than six months after the Gallipoli landing, It is one of the earliest war memorials in Adelaide and South Australia (most monuments w"
239263,20890,261-269 Pirie Street ADELAIDE,261-269,Pirie Street,,,ADELAIDE,Tivoli Hotel (including former Ballroom),S,State,,,,Adelaide,13395,,1916,H0201916,10510,Hotel - Motel - Inn,H,high level confidence,SHB,,,,,B,Building footprint,ADELAIDE,,B,CT 6015/424 C24869 A100,0205254004,ADELAIDE Council,,REG,3/12/2010,,"The Tivoli Hotel is indicative of the provision and increasing need for hotel accommodation in the early years of Adelaide's development. More significantly, the hotel retains one of the very few remaining large rooms which were attached to many 1850s an"
