longitude,latitude,Name,heritageno
138.6052767,-34.93242546,37 Hurtle Square ADELAIDE,1735
138.5998976,-34.93267737,353 King William Street ADELAIDE,1360
138.6042881,-34.93250759,110 Halifax Street ADELAIDE,1508
138.6052814,-34.93248449,39 Hurtle Square ADELAIDE,1736
138.6160266,-34.9323414,373-383 Halifax Street ADELAIDE,1495
138.6162171,-34.93250796,10-14 St Johns Street ADELAIDE,1674
138.6035935,-34.93300339,89 Halifax Street ADELAIDE,1507
138.6032462,-34.93296195,75-79 Halifax Street ADELAIDE,1677
138.6160007,-34.93263726,10-14 St Johns Street ADELAIDE,1674
138.6031817,-34.93304166,75-79 Halifax Street ADELAIDE,1677
138.5933401,-34.93345886,43-47 Whitmore Square ADELAIDE,1680
138.6085847,-34.92061175,North Terrace ADELAIDE,27070
138.4166303,-34.14320591,Railway Terrace BALAKLAVA,13644
138.4163448,-34.14361635,Railway Terrace BALAKLAVA,13644
138.6202868,-34.91748421,64 North Terrace KENT TOWN,6040
137.9685063,-33.48148553,Old Pirie Road PORT BROUGHTON,26322
138.6066724,-34.94297775,34 Unley Road UNLEY,3775
138.5823221,-34.94383799,2 Anzac Highway KESWICK,3762
139.1669445,-34.88697239,Palmer Road PALMER,16324
138.8571716,-34.89140007,Neudorf Road LOBETHAL,15273
138.6278379,-34.94307543,226 Fullarton Road GLENSIDE,8389
138.6281975,-34.94380479,226 Fullarton Road GLENSIDE,8390
138.6298772,-34.94267082,226 Fullarton Road GLENSIDE,8384
138.158409,-35.63801109,Rarkang Road CAPE JERVIS VIA DELAMERE,26323
138.1525145,-35.63845069,Rarkang Road CAPE JERVIS VIA DELAMERE,26323
138.6240968,-34.95654075,78 Fisher Street FULLARTON,4002
138.5939828,-34.95759486,3 Douglas Street MILLSWOOD,3765
138.6250876,-34.95772079,411 Fullarton Road FULLARTON,3766
138.6275237,-34.94386628,226 Fullarton Road GLENSIDE,8384
137.1704036,-30.44745887,Lot 174 Government Road ANDAMOOKA,21950
135.8515869,-28.33163906,near OODNADATTA,21952
138.6363142,-34.74105618,The Crescent EDINBURGH,21956
138.6358149,-34.74212169,The Crescent EDINBURGH,21956
138.6370218,-34.74250576,The Crescent EDINBURGH,21956
138.6369816,-34.74264735,The Crescent EDINBURGH,21956
138.6368401,-34.74267406,The Crescent EDINBURGH,21956
138.6368247,-34.74274663,The Crescent EDINBURGH,21956
138.6364809,-34.74277516,The Crescent EDINBURGH,21956
138.6366794,-34.74290632,The Crescent EDINBURGH,21956
138.636992,-34.74290143,The Crescent EDINBURGH,21956
138.6380837,-34.74125375,6-30 Woomera Avenue EDINBURGH,21957
138.6378721,-34.74204172,6-30 Woomera Avenue EDINBURGH,21957
138.6378915,-34.74217786,6-30 Woomera Avenue EDINBURGH,21957
138.6382728,-34.74228115,6-30 Woomera Avenue EDINBURGH,21957
138.6564145,-34.71586513,Explosives Road (Off) EDINBURGH,21953
138.6564037,-34.71612541,Explosives Road (Off) EDINBURGH,21953
138.6562459,-34.71627503,Explosives Road (Off) EDINBURGH,21953
138.6560118,-34.71598332,Explosives Road (Off) EDINBURGH,21953
138.656009,-34.71605992,Explosives Road (Off) EDINBURGH,21953
138.6560087,-34.7161394,Explosives Road (Off) EDINBURGH,21953
138.7307962,-34.82217368,3 Perseverance Road TEA TREE GULLY,3370
138.7405358,-34.8345869,TEA TREE GULLY,3409
138.7076137,-34.85939799,Lot 300 Historic Drive HIGHBURY,3367
138.7077166,-34.86010523,Off Historic Drive HIGHBURY,21027
138.7312407,-34.85604476,off Gorge Road MONTACUTE,3404
138.7300756,-34.85831044,off Gorge Road MONTACUTE,3404
140.5122099,-36.30634326,Off Cannawigara Road KONGAL VIA MUNDULLA,14184
140.7774872,-36.31065694,Hay Avenue BORDERTOWN,14186
140.7733428,-36.31041844,Woolshed Street BORDERTOWN,14188
140.6938487,-36.35891315,22 Nalang Road MUNDULLA,14190
140.6938257,-36.35907463,22 Nalang Road MUNDULLA,18226
140.6916824,-36.35973258,Lot 30 Jewell Street MUNDULLA,14189
138.6560009,-34.71621026,Explosives Road (Off) EDINBURGH,21953
138.6560003,-34.71628385,Explosives Road (Off) EDINBURGH,21953
