id,Record URL,XML,Name,Title,Publication,Description,Summary,Subject,Image,Series
b20544819,http://www.catalog.slsa.sa.gov.au/record=b2054481,http://www.catalog.slsa.sa.gov.au/xrecord=b2054481,"State Library of South Australia, photographer",North Terrace,1900,Photograph  20.4 cm x 12.2 cm,"North Tce. West. Cottages said to have been erected in 1838 by W.H. Gray (Roofs obviously later). On extreme right is Gray St. probably taken before 1900. Cottages shown on Cadastral Plan of Adelaide (1880), and on Kingston's Map. Right side of the cottages abutted Gray St. Frontage to North Tce. 28 yards",,http://images.slsa.sa.gov.au/mpcimg/07750/B7529.jpg,2
b20545125,http://www.catalog.slsa.sa.gov.au/record=b2054512,http://www.catalog.slsa.sa.gov.au/xrecord=b2054512,"Gabriel, Francis, photographer",Railway Goods Yards,1903,Photograph  14.5 cm x 19.9 cm;RESERVE 4 [glass plate negative],"[General description] The busy railway goods yards with goods shed, locomotives, rolling stock and horse drawn wagons, loaded with firewood and bricks. On the extreme right a locomotive steams past some bogey wagons full of bricks which a man is unloading, one by one, into his horse drawn wagon. Several of the horses are taking a break, eating from nosebags. [On back of photograph] 'Railway Goods Yards /  North Terrace, west of Morphett St. / Acres 6 and 7 in background / 1903-09 / On the left is the Black Swan Hotel, the near side of which is 1171/2 yards west of Morphett Street. The part of North Terrace obscured by the smoke of the engine is about 65 yds. East of George Street.'","Horse drawn vehicles -- South Australia -- Adelaide;Black Swan Hotel (Adelaide, S. Aust.);Railroads -- South Australia -- Adelaide;Railroads -- Rolling stock",http://images.slsa.sa.gov.au/mpcimg/03750/B3527.jpg,7
b20545745,http://www.catalog.slsa.sa.gov.au/record=b2054574,http://www.catalog.slsa.sa.gov.au/xrecord=b2054574,,"Trinity Church, North Terrace",1900,Photograph  20.5 cm x 14.9 cm,"Holy Trinity Church, North Terrace",,http://images.slsa.sa.gov.au/mpcimg/31000/B30799.jpg,9
b20545666,http://www.catalog.slsa.sa.gov.au/record=b2054566,http://www.catalog.slsa.sa.gov.au/xrecord=b2054566,,Holy Trinity Church,1905,Photograph  14 cm x 9 cm,Holy Trinity Church before 1907,,http://images.slsa.sa.gov.au/mpcimg/17500/B17394.jpg,9
b22212395,http://www.catalog.slsa.sa.gov.au/record=b2221239,http://www.catalog.slsa.sa.gov.au/xrecord=b2221239,,"A motor car stand, Adelaide, South Australia",ca.1908,"Postcard (tinted, B&W)  8.9 cm x 13.7 cm;RESERVE 1","A line of cars parked in Currie Street outside the Bank of Australasia, with the entrance to Gilbert Place behind them, and part of the Commercial Chambers (housing the 'Gadfly' newspaper) beyond that.",,http://images.slsa.sa.gov.au/mpcimg/71250/B71028.jpg,9
b2054537x,http://www.catalog.slsa.sa.gov.au/record=b2054537,http://www.catalog.slsa.sa.gov.au/xrecord=b2054537,"Government Photolithographer (S. Aust.), photographer","Trinity Church at Rear, Adelaide",1917,Photograph  21.7 cm x 15.0 cm,"Buildings at rear of Trinity Church, Adelaide, off North Terrace,taken 12 September 1917. There has been no alteration up to 2 November 1923. The frontage is 14 yards and the left side is 54 yards south of North Terrace. Demolished May 1932. (For building erected on this site in 1952, see B 12844)",,http://images.slsa.sa.gov.au/mpcimg/00250/B75.jpg,9
b2054585x,http://www.catalog.slsa.sa.gov.au/record=b2054585,http://www.catalog.slsa.sa.gov.au/xrecord=b2054585,"Gall, Ernest, photographer","Mrs Murray's Mannum House and Martin's Boarding House, North Terrace",1907,Photograph  20.1 cm x 15 cm,"Mrs Murray's Mannum House at 66 North Terrace and Murray's Boarding House at 67 North Terrace. Right side is 79 yards east of Morphett Street, frontage: 14 and a half yards. For an earlier photo of this residence see B 2495",,http://images.slsa.sa.gov.au/mpcimg/05500/B5410.jpg,10
b20545812,http://www.catalog.slsa.sa.gov.au/record=b2054581,http://www.catalog.slsa.sa.gov.au/xrecord=b2054581,"Gall, Ernest, photographer",Luxmoore & Chapman,1909,Photograph & film  20.7 cm x 15.5 cm,"[General description] Premises of Luxmoore & Chapman on North Terrace West. The signage advertises Luxmoore and Chapman are wool brokers, and deal in skin, hide and tallow. Number 62 North Terrace is next door. Two men are sitting on the steps of Luxmoore and Chapman and a bicycle is parked outside. [On back of photograph] Acre 10. North Terrace West 1909-1914.Probably 1909. See B 7787/3. Right side of Luxmoore's premises is 100 yards east of Morphett Street. Frontage of Luxmoore's: 21 yards",,http://images.slsa.sa.gov.au/mpcimg/03500/B3254.jpg,10
b20545861,http://www.catalog.slsa.sa.gov.au/record=b2054586,http://www.catalog.slsa.sa.gov.au/xrecord=b2054586,"Gall, Ernest, photographer","Mrs Gleiber's Boarding House, North Terrace",1909,Photograph  20.7 cm x 14.8 cm,"Mrs Gleiber's New Zealand Boarding House, 61 North Terrace. Right side of houses is 121 yards east of Morphett Street, frontage: 20 yards",,http://images.slsa.sa.gov.au/mpcimg/06000/B5856.jpg,10
b20545915,http://www.catalog.slsa.sa.gov.au/record=b2054591,http://www.catalog.slsa.sa.gov.au/xrecord=b2054591,"Gall, Ernest, photographer",North Terrace West,1909,Photograph and plate  v20.5 cm x 15.6 cm,"[General description] Buildings on the south side of North Terrace between Victoria Street and Morphett Street. Holy Trinity Church can be seen in the distance. Other buildings include a Foundry, W. Gilbert Grain and Forage Merchants, G.A. Prevost and Co., Hugh McKay Sunshine Harvesters, Luxmoure Chapman and Co. [On back of photograph] North Terrace West, looking west towards Morphett Street. 1909-12. Near side of McKay's is 63 and a half yards west of Victoria Street. All the buildings to the left of McKay's were demolished between 1912 and 1925.For view of building subsequently erected on the site, see B 4890",,http://images.slsa.sa.gov.au/mpcimg/03250/B3225.jpg,11
