id,Record URL,XML,Name,Title,Publication,Description,Summary,Subject,Image,Series
b20648194,http://www.catalog.slsa.sa.gov.au/record=b2064819,http://www.catalog.slsa.sa.gov.au/xrecord=b2064819,"State Library of South Australia, photographer",Francis Street,1941,Photograph  14.1 cm x 8.3 cm,"Francis Street, south side, 29 July 1941, right side of cottage is 17 yards east of Kingston Terrace and frontage is 5.5 yards",,http://images.slsa.sa.gov.au/mpcimg/10750/B10547.jpg,1042
b20648108,http://www.catalog.slsa.sa.gov.au/record=b2064810,http://www.catalog.slsa.sa.gov.au/xrecord=b2064810,"State Library of South Australia, photographer",Francis Street,1930,Photograph  14.0 cm x 8.0 cm,"Francis Street, off Mann Terrace, south side, 24 February 1930. Far side of cottages is 18 1/2 yards west of Mann Terrace  frontage of the pair with the slate roofs: 15 1/2 yards. Near side of the cottage in foreground is 44 yards west of Mann Terrace. Compare with B5912",,http://images.slsa.sa.gov.au/mpcimg/05750/B5723.jpg,1040
b2064811x,http://www.catalog.slsa.sa.gov.au/record=b2064811,http://www.catalog.slsa.sa.gov.au/xrecord=b2064811,"State Library of South Australia, photographer",Francis Street,1931,Photograph  14.1 cm x 8.3 cm,"Francis Street, off Mann Terrace, 21 April 1931 showing alterations to the cottages on the left effected in 1930. See B5723",,http://images.slsa.sa.gov.au/mpcimg/06000/B5912.jpg,1040
b2064808x,http://www.catalog.slsa.sa.gov.au/record=b2064808,http://www.catalog.slsa.sa.gov.au/xrecord=b2064808,"State Library of South Australia, photographer",Mann Terrace,1937,Photograph  13.4 cm x 8.1 cm,"Mann Terrace, west side, 13 July 1937. Left side of cottage in centre is 44 yards north of Stanley Street. Frontage is 11 yards. For alterations, addition, etc. to this house made in 1937, see B7413. The car is a Chevrolet",,http://images.slsa.sa.gov.au/mpcimg/07250/B7086.jpg,1039
b20648091,http://www.catalog.slsa.sa.gov.au/record=b2064809,http://www.catalog.slsa.sa.gov.au/xrecord=b2064809,"State Library of South Australia, photographer",Mann Terrace,1938,Photograph  14.0 cm x 8.2 cm,"Mann Terrace, west side, 1 March 1938.This house was remodelled, etc. in 1937. Compare with B7086. The left side of house in centre is 44 yards north of Stanley Street. Frontage 11 yards",,http://images.slsa.sa.gov.au/mpcimg/07500/B7413.jpg,1039
b20647803,http://www.catalog.slsa.sa.gov.au/record=b2064780,http://www.catalog.slsa.sa.gov.au/xrecord=b2064780,"State Library of South Australia, photographer",Kingston Terrace,1930,Photograph  14.0 cm x 8.0 cm,"Kingston Terrace, east corner of Fuller Street, 24th February 1930. The cottages were erected on vacant site in 1929  frontage: 32 1/2 yards",,http://images.slsa.sa.gov.au/mpcimg/05750/B5740.jpg,1034
b20647815,http://www.catalog.slsa.sa.gov.au/record=b2064781,http://www.catalog.slsa.sa.gov.au/xrecord=b2064781,"State Library of South Australia, photographer",Kingston Terrace,1935,Photograph  14.0 cm x 7.8 cm,"Kingston Terrace, 16th January 1935, showing two pairs of houses erected in 1933-4 on a vacant site. Near side of houses is 35 yards east of Fuller Street  frontage: 34 yards",,http://images.slsa.sa.gov.au/mpcimg/06750/B6598.jpg,1034
b20647736,http://www.catalog.slsa.sa.gov.au/record=b2064773,http://www.catalog.slsa.sa.gov.au/xrecord=b2064773,"State Library of South Australia, photographer",Jerningham Street,1935,Photograph and neg.  13.9 cm x 8.2 cm,"Jerningham Street, west side, 12th February 1935. Left side of building is 19 yards north of Stanley Street. Frontage: 13 yards",,http://images.slsa.sa.gov.au/mpcimg/06750/B6711.jpg,1031
b20647748,http://www.catalog.slsa.sa.gov.au/record=b2064774,http://www.catalog.slsa.sa.gov.au/xrecord=b2064774,"State Library of South Australia, photographer",Kingston Terrace,1935,Photograph  13.5 cm x 7.8 cm,"Kingston Terrace, 28th December 1935. Left side of house is 46 1/2 yards west of Jerningham Street. Frontage: 24 yards. The residence was erected in 1935 on a site formerly occupied by corrugated iron sheds",,http://images.slsa.sa.gov.au/mpcimg/07000/B6802.jpg,1031
b2064775x,http://www.catalog.slsa.sa.gov.au/record=b2064775,http://www.catalog.slsa.sa.gov.au/xrecord=b2064775,"State Library of South Australia, photographer",Jerningham Street,1935,Photograph  13.5 cm x 7.8 cm,"Jerningham Street, west side, 28th December 1935, showing alterations to house effected in 1935. Compare with B6711. The car was a Chevrolet carrying trader's plates",,http://images.slsa.sa.gov.au/mpcimg/07000/B6805.jpg,1031
b20647761,http://www.catalog.slsa.sa.gov.au/record=b2064776,http://www.catalog.slsa.sa.gov.au/xrecord=b2064776,"State Library of South Australia, photographer",Kingston Terrace,1936,Photograph  21.5 cm x 16.3 cm,"Kingston Terrace, 23rd September 1936. Left side is 31 yards west of Jerningham Street. Frontage: 11 yards",,http://images.slsa.sa.gov.au/mpcimg/07000/B6895.jpg,1031
b20647682,http://www.catalog.slsa.sa.gov.au/record=b2064768,http://www.catalog.slsa.sa.gov.au/xrecord=b2064768,"State Library of South Australia, photographer",Kingston Terrace,1929,Photograph  14.2 cm x 8.1 cm,"Kingston Terrace, 22nd July 1929. Left side of the house is 105 1/2 yards west of Jerningham Street. Frontage, including verandahs, 18 yards. Demolished 1929",,http://images.slsa.sa.gov.au/mpcimg/05250/B5228.jpg,1030
b20647694,http://www.catalog.slsa.sa.gov.au/record=b2064769,http://www.catalog.slsa.sa.gov.au/xrecord=b2064769,"State Library of South Australia, photographer",Kingston Terrace,1929,Photograph  14.2 cm x 8.1 cm,"Kingston Terrace, 22nd July 1929. Left side of house is 105 1/2 yards west of Jerningham Street. Frontage, including verandahs, 18 yards. Demolished in 1929",,http://images.slsa.sa.gov.au/mpcimg/05250/B5231.jpg,1030
b20647724,http://www.catalog.slsa.sa.gov.au/record=b2064772,http://www.catalog.slsa.sa.gov.au/xrecord=b2064772,,Kingston Terrace,1930,Postcard  15.7 cm x 10.6 cm,Kingston Terrace and Stanley Street,,http://images.slsa.sa.gov.au/mpcimg/24500/B24347.jpg,1030
