id,Record URL,XML,Name,Title,Publication,Description,Summary,Subject,Image,Series
b20648121,http://www.catalog.slsa.sa.gov.au/record=b2064812,http://www.catalog.slsa.sa.gov.au/xrecord=b2064812,"State Library of South Australia, photographer",Mann Terrace,1955,Photograph  13.9 cm x 8.6 cm,"Mann Terrace, 27 December 1955, right side of house is 8 yards south of Kingston Terrace and frontage is 21.5 yards",,http://images.slsa.sa.gov.au/mpcimg/13750/B13560.jpg,1040
b20648066,http://www.catalog.slsa.sa.gov.au/record=b2064806,http://www.catalog.slsa.sa.gov.au/xrecord=b2064806,"State Library of South Australia, photographer",Stanley Street,1964,Photograph  21.4 cm x 15.4 cm,"Stanley Street, north side, 13 December 1963. South Australian School of Art. Left side and site is 34 yards east of Porter Street. Frontage is 70 yards",,http://images.slsa.sa.gov.au/mpcimg/15500/B15315.jpg,1037
b20648078,http://www.catalog.slsa.sa.gov.au/record=b2064807,http://www.catalog.slsa.sa.gov.au/xrecord=b2064807,"State Library of South Australia, photographer",Stanley Street,1964,Photograph  21.4 cm x 15.4 cm,"Stanley Street, north side, 13 December 1963. South Australian School of Art. Left side and site is 34 yards east and Porter Street. Frontage is 10 yards",,http://images.slsa.sa.gov.au/mpcimg/15500/B15316.jpg,1037
b20648042,http://www.catalog.slsa.sa.gov.au/record=b2064804,http://www.catalog.slsa.sa.gov.au/xrecord=b2064804,"State Library of South Australia, photographer",Stanley Street,1960,Photograph  14.1 cm x 8.0 cm,"Stanley Street, north side, 22 January 1960. Right side of shop is 117 yards west of Hart Street. Frontage of shop is 7 yards. For a view of shop taken in 1916, see B1852",,http://images.slsa.sa.gov.au/mpcimg/14500/B14283.jpg,1036
b20648030,http://www.catalog.slsa.sa.gov.au/record=b2064803,http://www.catalog.slsa.sa.gov.au/xrecord=b2064803,"State Library of South Australia, photographer",Kingston Terrace,1965,Photograph ,"Kingston Terrace, south side, 1965. Left side of site is 40 yards west of Kingston Terrace, east side",,http://images.slsa.sa.gov.au/mpcimg/16250/B16194.jpg,1036
b20648054,http://www.catalog.slsa.sa.gov.au/record=b2064805,http://www.catalog.slsa.sa.gov.au/xrecord=b2064805,"State Library of South Australia, photographer","Kingston Terrace, South Side",1974,Photograph  21.7 cm x 13.3 cm,"Kingston Terrace, south side, 22 March 1974. West side of the building is 172 yards east of Fuller Street. Kingston Terrace frontage is 10 yards",,http://images.slsa.sa.gov.au/mpcimg/29000/B28800.jpg,1036
b20647827,http://www.catalog.slsa.sa.gov.au/record=b2064782,http://www.catalog.slsa.sa.gov.au/xrecord=b2064782,"State Library of South Australia, photographer",Stanley Street Plaque,1970,Photograph  21 cm x 16 cm,"Stanley Street, plaque on the wall of cottage homes, 82-100 Stanley Street, 19th June 1970",,http://images.slsa.sa.gov.au/mpcimg/20000/B19970.jpg,1035
b20647839,http://www.catalog.slsa.sa.gov.au/record=b2064783,http://www.catalog.slsa.sa.gov.au/xrecord=b2064783,"State Library of South Australia, photographer","Stanley Street, North Side",1970,Photograph  21 cm x 16 cm,"Stanley Street, north side, 19th June 1970, showing the Stanley Street cottage homes. Left side of block is 70 2/3 yards east of Fuller Street. Frontage: 70 1/3 yards",,http://images.slsa.sa.gov.au/mpcimg/20000/B19971.jpg,1035
b20647840,http://www.catalog.slsa.sa.gov.au/record=b2064784,http://www.catalog.slsa.sa.gov.au/xrecord=b2064784,"State Library of South Australia, photographer",Stanley Street Plaque,1970,Photograph  21 cm x 16 cm,"Stanley Street main plaque on the wall of the cottage homes, 19th June 1970",,http://images.slsa.sa.gov.au/mpcimg/20000/B19972.jpg,1035
b20647852,http://www.catalog.slsa.sa.gov.au/record=b2064785,http://www.catalog.slsa.sa.gov.au/xrecord=b2064785,"State Library of South Australia, photographer",Kingston Terrace Plaque,1970,Photograph negative  21 cm x 16 cm,"Kingston Terrace homes plaque, 19th June 1970",,http://images.slsa.sa.gov.au/mpcimg/20000/B19973.jpg,1035
