id,Record URL,XML,Name,Title,Publication,Description,Summary,Subject,Image,Series
b20647700,http://www.catalog.slsa.sa.gov.au/record=b2064770,http://www.catalog.slsa.sa.gov.au/xrecord=b2064770,"Walker, Gordon, photographer",Kingston Terrace,1865,Repro. of photo  14.5 cm x 9.1 cm,"Kingston Terrace, looking east",,http://images.slsa.sa.gov.au/mpcimg/05750/B5606.jpg,1030
b20647347,http://www.catalog.slsa.sa.gov.au/record=b2064734,http://www.catalog.slsa.sa.gov.au/xrecord=b2064734,"Lawton, photographer","Congregational Church, North Adelaide",1860,Photograph  15.2 cm x 9.4 cm,"Congregational Church, North Adelaide, viewed from the side. The church was opened in 1861 and it was used in an unfinished state until its completion in 1872 when the tower was added. See B 363 for a view of the tower","Congregational Church (North Adelaide, S. Aust.)",http://images.slsa.sa.gov.au/mpcimg/03000/B2855.jpg,1026
b20647293,http://www.catalog.slsa.sa.gov.au/record=b2064729,http://www.catalog.slsa.sa.gov.au/xrecord=b2064729,,"Congregational Church, North Adelaide",1872,Photograph  20.3 cm x 13.6 cm,"Congregational Church, North Adelaide, situated on the south eastern corner of Stanley Street and Brougham Place, taken in the period from 1872-1879.  This view shows the building from the side",,http://images.slsa.sa.gov.au/mpcimg/00500/B359.jpg,1026
b20647311,http://www.catalog.slsa.sa.gov.au/record=b2064731,http://www.catalog.slsa.sa.gov.au/xrecord=b2064731,,North Adelaide,1872,Photograph  9.2 cm x 5.3 cm,"Congregational Church, North Adelaide",,http://images.slsa.sa.gov.au/mpcimg/01000/B950.jpg,1026
b20647335,http://www.catalog.slsa.sa.gov.au/record=b2064733,http://www.catalog.slsa.sa.gov.au/xrecord=b2064733,"B. Goode & Co., photographer","Congregational Church, North Adelaide",1872,Photograph  9.4 cm x 6.0 cm,"Congregational Church, Brougham Place, North Adelaide, soon after the addition of its tower. See B 2855 for an earlier view. The west frontage of the church is 18 yards and the south frontage is 21 yards south of Stanley Street, north side is 38 yards",North Adelaide Congregational Church (S. Aust.),http://images.slsa.sa.gov.au/mpcimg/03000/B2872.jpg,1026
b20647402,http://www.catalog.slsa.sa.gov.au/record=b2064740,http://www.catalog.slsa.sa.gov.au/xrecord=b2064740,"Sweet, Samuel White, 1825-1886",Brougham Place,1872,Photograph  20.5 cm x 15.2 cm,"Brougham Place, east side, right side of the house is 58 yards south of Stanley Street and frontage is 15 yards",,http://images.slsa.sa.gov.au/mpcimg/10750/B10678.jpg,1026
b20647414,http://www.catalog.slsa.sa.gov.au/record=b2064741,http://www.catalog.slsa.sa.gov.au/xrecord=b2064741,"Sweet, Samuel White, 1825-1886",Stanley Street,1872,Photograph  20.3 cm x 16.3 cm,Corner of Stanley Street and Brougham Place,,http://images.slsa.sa.gov.au/mpcimg/10750/B10700.jpg,1026
b20647499,http://www.catalog.slsa.sa.gov.au/record=b2064749,http://www.catalog.slsa.sa.gov.au/xrecord=b2064749,,"Congregational Church, Brougham Place",1875,Photograph (b&w print)  13.8 cm x 8.9 cm;C1,"Brougham Place Congregational Church, from Stanley Street.",,http://images.slsa.sa.gov.au/mpcimg/43500/B43391.jpg,1026
b20788769,http://www.catalog.slsa.sa.gov.au/record=b2078876,http://www.catalog.slsa.sa.gov.au/xrecord=b2078876,,"Congregational Church, North Adelaide",1875,Photograph (b&w print)  16 cm x 20.5 cm;RESERVE 1,"ACRE 1026: Congregational Church, Brougham Place, North Adelaide",,http://images.slsa.sa.gov.au/mpcimg/57000/B56807.jpg,1026
b20805998,http://www.catalog.slsa.sa.gov.au/record=b2080599,http://www.catalog.slsa.sa.gov.au/xrecord=b2080599,,"Congregational Church, North Adelaide",1875,Photograph  20 cm x 15.5 cm,"ACRE 1026: Congregational Church, North Adelaide",Church architecture -- South Australia -- North Adelaide,http://images.slsa.sa.gov.au/mpcimg/58750/B58533.jpg,1026
